,elapsedTime,v5,mlii
0,0.0,-0.145,-0.065
1,0.003,-0.145,-0.065
2,0.006,-0.145,-0.065
3,0.008,-0.145,-0.065
4,0.011000000000000001,-0.145,-0.065
5,0.013999999999999999,-0.145,-0.065
6,0.017,-0.145,-0.065
7,0.019,-0.145,-0.065
8,0.022000000000000002,-0.12,-0.08
9,0.025,-0.135,-0.08
10,0.027999999999999997,-0.145,-0.085
11,0.031,-0.15,-0.085
12,0.033,-0.16,-0.075
13,0.036000000000000004,-0.155,-0.07
14,0.039,-0.16,-0.07
15,0.042,-0.175,-0.065
16,0.044000000000000004,-0.18,-0.055
17,0.047,-0.185,-0.05
18,0.05,-0.17,-0.05
19,0.053,-0.155,-0.04
20,0.055999999999999994,-0.175,-0.04
21,0.057999999999999996,-0.18,-0.055
22,0.061,-0.19,-0.075
23,0.064,-0.18,-0.08
24,0.067,-0.155,-0.085
25,0.069,-0.135,-0.07
26,0.07200000000000001,-0.155,-0.08
27,0.075,-0.19,-0.08
28,0.078,-0.205,-0.09
29,0.081,-0.235,-0.095
30,0.083,-0.225,-0.09
31,0.086,-0.245,-0.095
32,0.08900000000000001,-0.25,-0.11
33,0.092,-0.26,-0.12
34,0.094,-0.275,-0.145
35,0.09699999999999999,-0.275,-0.135
36,0.1,-0.275,-0.105
37,0.10300000000000001,-0.265,-0.095
38,0.106,-0.255,-0.105
39,0.10800000000000001,-0.265,-0.12
40,0.111,-0.275,-0.135
41,0.114,-0.29,-0.125
42,0.11699999999999999,-0.29,-0.125
43,0.11900000000000001,-0.29,-0.115
44,0.122,-0.29,-0.115
45,0.125,-0.285,-0.125
46,0.128,-0.295,-0.14
47,0.131,-0.305,-0.14
48,0.133,-0.285,-0.13
49,0.136,-0.275,-0.125
50,0.139,-0.275,-0.14
51,0.142,-0.28,-0.145
52,0.14400000000000002,-0.285,-0.15
53,0.147,-0.305,-0.15
54,0.15,-0.29,-0.13
55,0.153,-0.3,-0.115
56,0.156,-0.28,-0.125
57,0.158,-0.29,-0.135
58,0.161,-0.3,-0.16
59,0.16399999999999998,-0.315,-0.195
60,0.16699999999999998,-0.32,-0.2
61,0.16899999999999998,-0.335,-0.205
62,0.172,-0.36,-0.225
63,0.175,-0.385,-0.255
64,0.17800000000000002,-0.385,-0.3
65,0.18100000000000002,-0.405,-0.29
66,0.183,-0.455,-0.235
67,0.18600000000000003,-0.485,-0.13
68,0.18899999999999997,-0.485,-0.035
69,0.192,-0.425,0.05
70,0.19399999999999998,-0.33,0.12
71,0.19699999999999998,-0.22,0.2
72,0.2,-0.07,0.31
73,0.203,0.12,0.435
74,0.20600000000000002,0.375,0.535
75,0.20800000000000002,0.62,0.58
76,0.21100000000000002,0.78,0.475
77,0.214,0.84,0.21
78,0.217,0.765,-0.085
79,0.21899999999999997,0.52,-0.23
80,0.222,0.17,-0.25
81,0.225,-0.165,-0.215
82,0.228,-0.365,-0.18
83,0.231,-0.435,-0.185
84,0.233,-0.425,-0.16
85,0.23600000000000002,-0.37,-0.15
86,0.239,-0.33,-0.15
87,0.242,-0.325,-0.18
88,0.244,-0.335,-0.18
89,0.247,-0.345,-0.16
90,0.25,-0.33,-0.165
91,0.253,-0.325,-0.17
92,0.256,-0.315,-0.165
93,0.258,-0.31,-0.185
94,0.261,-0.32,-0.185
95,0.264,-0.335,-0.185
96,0.267,-0.34,-0.17
97,0.26899999999999996,-0.325,-0.16
98,0.272,-0.345,-0.155
99,0.275,-0.335,-0.175
100,0.278,-0.33,-0.195
101,0.281,-0.335,-0.185
102,0.28300000000000003,-0.33,-0.185
103,0.28600000000000003,-0.325,-0.175
104,0.289,-0.33,-0.175
105,0.292,-0.33,-0.195
106,0.294,-0.345,-0.19
107,0.297,-0.355,-0.18
108,0.3,-0.335,-0.165
109,0.303,-0.325,-0.17
110,0.306,-0.305,-0.17
111,0.308,-0.32,-0.17
112,0.311,-0.32,-0.19
113,0.314,-0.33,-0.185
114,0.317,-0.34,-0.18
115,0.319,-0.335,-0.17
116,0.322,-0.34,-0.175
117,0.325,-0.345,-0.19
118,0.32799999999999996,-0.355,-0.2
119,0.331,-0.355,-0.195
120,0.33299999999999996,-0.34,-0.185
121,0.336,-0.33,-0.17
122,0.33899999999999997,-0.33,-0.17
123,0.342,-0.33,-0.185
124,0.344,-0.34,-0.195
125,0.34700000000000003,-0.35,-0.175
126,0.35,-0.325,-0.2
127,0.353,-0.325,-0.185
128,0.35600000000000004,-0.33,-0.18
129,0.358,-0.33,-0.185
130,0.361,-0.335,-0.205
131,0.364,-0.335,-0.19
132,0.36700000000000005,-0.34,-0.18
133,0.369,-0.33,-0.185
134,0.37200000000000005,-0.34,-0.2
135,0.375,-0.35,-0.215
136,0.37799999999999995,-0.355,-0.205
137,0.381,-0.35,-0.21
138,0.38299999999999995,-0.345,-0.2
139,0.386,-0.33,-0.185
140,0.389,-0.32,-0.205
141,0.392,-0.335,-0.2
142,0.39399999999999996,-0.33,-0.21
143,0.397,-0.345,-0.205
144,0.4,-0.33,-0.185
145,0.40299999999999997,-0.335,-0.185
146,0.406,-0.335,-0.2
147,0.408,-0.345,-0.215
148,0.41100000000000003,-0.345,-0.225
149,0.414,-0.355,-0.22
150,0.41700000000000004,-0.34,-0.2
151,0.419,-0.34,-0.2
152,0.42200000000000004,-0.335,-0.215
153,0.425,-0.33,-0.225
